CPUTIME,PID,STARTBURST,ENDBURST,COMPLETED
0,1,624,584,0
43,2,488,448,0
86,3,231,191,0
129,4,337,297,0
172,5,222,182,0
215,6,130,90,0
258,7,317,277,0
301,8,439,399,0
344,9,942,902,0
387,1,584,544,0
430,2,448,408,0
473,3,191,151,0
516,4,297,257,0
559,5,182,142,0
602,6,90,50,0
645,7,277,237,0
688,8,399,359,0
731,9,902,862,0
774,1,544,504,0
817,2,408,368,0
860,3,151,111,0
903,4,257,217,0
946,5,142,102,0
989,6,50,10,0
1032,7,237,197,0
1075,8,359,319,0
1118,9,862,822,0
1161,1,504,464,0
1204,2,368,328,0
1247,3,111,71,0
1290,4,217,177,0
1333,5,102,62,0
1376,6,10,0,1386
1389,7,197,157,0
1432,8,319,279,0
1475,9,822,782,0
1518,1,464,424,0
1561,2,328,288,0
1604,3,71,31,0
1647,4,177,137,0
1690,5,62,22,0
1733,7,157,117,0
1776,8,279,239,0
1819,9,782,742,0
1862,1,424,384,0
1905,2,288,248,0
1948,3,31,0,1979
1982,4,137,97,0
2025,5,22,0,2047
2050,7,117,77,0
2093,1,384,344,0
2136,2,248,208,0
2179,3,0,0,2179
2182,4,97,57,0
2225,7,77,37,0
2268,1,344,304,0
2311,2,208,168,0
2354,3,0,0,2354
2357,4,57,17,0
2400,7,37,0,2437
2440,1,304,264,0
2483,2,168,128,0
2526,4,17,0,2543
2546,1,264,224,0
2589,2,128,88,0
2632,1,224,184,0
2675,2,88,48,0
2718,1,184,144,0
2761,2,48,8,0
2804,1,144,104,0
2847,2,8,0,2855
2858,1,104,64,0
2901,2,0,0,2901
TURNAROUND, AVG 
20681,2297.89
