CPUTIME,PID,STARTBURST,ENDBURST,COMPLETED
0,5,827,787,0
43,8,615,575,0
86,17,364,324,0
129,17,324,284,0
172,18,346,306,0
215,17,284,244,0
258,17,244,204,0
301,17,204,164,0
344,17,164,124,0
387,17,124,84,0
430,17,84,44,0
473,17,44,4,0
516,17,4,0,520
523,7,422,382,0
566,8,575,535,0
609,8,535,495,0
652,8,495,455,0
695,8,455,415,0
738,8,415,375,0
781,8,375,335,0
824,8,335,295,0
867,8,295,255,0
910,8,255,215,0
953,8,215,175,0
996,8,175,135,0
1039,8,135,95,0
1082,8,95,55,0
1125,8,55,15,0
1168,8,15,0,1183
1186,15,589,549,0
1229,2,972,932,0
1272,2,932,892,0
1315,2,892,852,0
1358,2,852,812,0
1401,2,812,772,0
1444,2,772,732,0
1487,2,732,692,0
1530,2,692,652,0
1573,2,652,612,0
1616,2,612,572,0
1659,2,572,532,0
1702,2,532,492,0
1745,2,492,452,0
1788,2,452,412,0
1831,2,412,372,0
1874,2,372,332,0
1917,2,332,292,0
1960,2,292,252,0
2003,2,252,212,0
2046,2,212,172,0
2089,2,172,132,0
2132,2,132,92,0
2175,2,92,52,0
2218,2,52,12,0
2261,2,12,0,2273
2276,7,382,342,0
2319,7,342,302,0
2362,7,302,262,0
2405,7,262,222,0
2448,7,222,182,0
2491,7,182,142,0
2534,7,142,102,0
2577,7,102,62,0
2620,7,62,22,0
2663,7,22,0,2685
2688,11,942,902,0
2731,11,902,862,0
2774,11,862,822,0
2817,11,822,782,0
2860,11,782,742,0
2903,11,742,702,0
2946,11,702,662,0
2989,11,662,622,0
3032,11,622,582,0
3075,11,582,542,0
3118,11,542,502,0
3161,11,502,462,0
3204,11,462,422,0
3247,11,422,382,0
3290,11,382,342,0
3333,11,342,302,0
3376,11,302,262,0
3419,11,262,222,0
3462,11,222,182,0
3505,11,182,142,0
3548,11,142,102,0
3591,11,102,62,0
3634,11,62,22,0
3677,11,22,0,3699
3702,4,633,593,0
3745,4,593,553,0
3788,4,553,513,0
3831,4,513,473,0
3874,4,473,433,0
3917,16,103,63,0
3960,4,433,393,0
4003,4,393,353,0
4046,4,353,313,0
4089,4,313,273,0
4132,4,273,233,0
4175,4,233,193,0
4218,4,193,153,0
4261,4,153,113,0
4304,4,113,73,0
4347,4,73,33,0
4390,4,33,0,4423
4426,15,549,509,0
4469,15,509,469,0
4512,15,469,429,0
4555,15,429,389,0
4598,15,389,349,0
4641,15,349,309,0
4684,15,309,269,0
4727,15,269,229,0
4770,15,229,189,0
4813,15,189,149,0
4856,15,149,109,0
4899,15,109,69,0
4942,15,69,29,0
4985,15,29,0,5014
5017,14,764,724,0
5060,14,724,684,0
5103,14,684,644,0
5146,14,644,604,0
5189,14,604,564,0
5232,14,564,524,0
5275,14,524,484,0
5318,14,484,444,0
5361,14,444,404,0
5404,14,404,364,0
5447,14,364,324,0
5490,14,324,284,0
5533,14,284,244,0
5576,14,244,204,0
5619,14,204,164,0
5662,14,164,124,0
5705,14,124,84,0
5748,14,84,44,0
5791,14,44,4,0
5834,14,4,0,5838
5841,5,787,747,0
5884,5,747,707,0
5927,5,707,667,0
5970,5,667,627,0
6013,5,627,587,0
6056,5,587,547,0
6099,5,547,507,0
6142,5,507,467,0
6185,5,467,427,0
6228,5,427,387,0
6271,5,387,347,0
6314,5,347,307,0
6357,5,307,267,0
6400,5,267,227,0
6443,5,227,187,0
6486,5,187,147,0
6529,5,147,107,0
6572,5,107,67,0
6615,5,67,27,0
6658,5,27,0,6685
6688,19,271,231,0
6731,19,231,191,0
6774,19,191,151,0
6817,19,151,111,0
6860,19,111,71,0
6903,19,71,31,0
6946,19,31,0,6977
6980,12,969,929,0
7023,12,929,889,0
7066,12,889,849,0
7109,12,849,809,0
7152,12,809,769,0
7195,12,769,729,0
7238,12,729,689,0
7281,12,689,649,0
7324,12,649,609,0
7367,12,609,569,0
7410,12,569,529,0
7453,12,529,489,0
7496,12,489,449,0
7539,12,449,409,0
7582,12,409,369,0
7625,12,369,329,0
7668,12,329,289,0
7711,12,289,249,0
7754,12,249,209,0
7797,12,209,169,0
7840,12,169,129,0
7883,12,129,89,0
7926,12,89,49,0
7969,12,49,9,0
8012,12,9,0,8021
8024,6,306,266,0
8067,6,266,226,0
8110,6,226,186,0
8153,6,186,146,0
8196,6,146,106,0
8239,6,106,66,0
8282,6,66,26,0
8325,6,26,0,8351
8354,18,306,266,0
8397,18,266,226,0
8440,18,226,186,0
8483,18,186,146,0
8526,18,146,106,0
