CPUTIME,PID,STARTBURST,ENDBURST,COMPLETED
0,1,596,576,0
23,2,222,202,0
46,3,123,103,0
69,4,209,189,0
92,5,609,589,0
115,6,814,794,0
138,7,204,184,0
161,8,308,288,0
184,9,333,313,0
207,1,576,556,0
230,2,202,182,0
253,3,103,83,0
276,4,189,169,0
299,5,589,569,0
322,6,794,774,0
345,7,184,164,0
368,8,288,268,0
391,9,313,293,0
414,1,556,536,0
437,2,182,162,0
460,3,83,63,0
483,4,169,149,0
506,5,569,549,0
529,6,774,754,0
552,7,164,144,0
575,8,268,248,0
598,9,293,273,0
621,1,536,516,0
644,2,162,142,0
667,3,63,43,0
690,4,149,129,0
713,5,549,529,0
736,6,754,734,0
759,7,144,124,0
782,8,248,228,0
805,9,273,253,0
828,1,516,496,0
851,2,142,122,0
874,3,43,23,0
897,4,129,109,0
920,5,529,509,0
943,6,734,714,0
966,7,124,104,0
989,8,228,208,0
1012,9,253,233,0
1035,1,496,476,0
1058,2,122,102,0
1081,3,23,3,0
1104,4,109,89,0
1127,5,509,489,0
1150,6,714,694,0
1173,7,104,84,0
1196,8,208,188,0
1219,9,233,213,0
1242,1,476,456,0
1265,2,102,82,0
1288,3,3,0,1291
1294,4,89,69,0
1317,5,489,469,0
1340,6,694,674,0
1363,7,84,64,0
1386,8,188,168,0
1409,9,213,193,0
1432,1,456,436,0
1455,2,82,62,0
1478,4,69,49,0
1501,5,469,449,0
1524,6,674,654,0
1547,7,64,44,0
1570,8,168,148,0
1593,9,193,173,0
1616,1,436,416,0
1639,2,62,42,0
1662,4,49,29,0
1685,5,449,429,0
1708,6,654,634,0
1731,7,44,24,0
1754,8,148,128,0
1777,9,173,153,0
1800,1,416,396,0
1823,2,42,22,0
1846,4,29,9,0
1869,5,429,409,0
1892,6,634,614,0
1915,7,24,4,0
1938,8,128,108,0
1961,9,153,133,0
1984,1,396,376,0
2007,2,22,2,0
2030,4,9,0,2039
2042,5,409,389,0
2065,6,614,594,0
2088,7,4,0,2092
2095,8,108,88,0
2118,9,133,113,0
2141,1,376,356,0
2164,5,389,369,0
2187,6,594,574,0
2210,7,0,0,2210
2213,8,88,68,0
2236,9,113,93,0
2259,1,356,336,0
2282,5,369,349,0
2305,7,0,0,2305
2308,8,68,48,0
2331,9,93,73,0
2354,1,336,316,0
2377,5,349,329,0
2400,7,0,0,2400
2403,9,73,53,0
2426,7,0,0,2426
2429,9,53,33,0
2452,7,0,0,2452
2455,9,33,13,0
2478,7,0,0,2478
TURNAROUND, AVG 
19693,2188.11
