CPUTIME,PID,STARTBURST,ENDBURST,COMPLETED
0,27,392,352,0
43,15,198,158,0
86,15,158,118,0
129,15,118,78,0
172,15,78,38,0
215,15,38,0,253
256,21,336,296,0
299,22,799,759,0
342,2,991,951,0
385,2,951,911,0
428,2,911,871,0
471,2,871,831,0
514,23,596,556,0
557,2,831,791,0
600,2,791,751,0
643,2,751,711,0
686,2,711,671,0
729,2,671,631,0
772,2,631,591,0
815,2,591,551,0
858,2,551,511,0
901,2,511,471,0
944,2,471,431,0
987,2,431,391,0
1030,2,391,351,0
1073,2,351,311,0
1116,2,311,271,0
1159,2,271,231,0
1202,2,231,191,0
1245,2,191,151,0
1288,2,151,111,0
1331,2,111,71,0
1374,2,71,31,0
1417,2,31,0,1448
1451,25,71,31,0
1494,25,31,0,1525
1528,20,423,383,0
1571,20,383,343,0
1614,20,343,303,0
1657,20,303,263,0
1700,20,263,223,0
1743,20,223,183,0
1786,20,183,143,0
1829,20,143,103,0
1872,20,103,63,0
1915,20,63,23,0
1958,20,23,0,1981
1984,11,225,185,0
2027,11,185,145,0
2070,11,145,105,0
2113,11,105,65,0
2156,11,65,25,0
2199,11,25,0,2224
2227,22,759,719,0
2270,22,719,679,0
2313,22,679,639,0
2356,22,639,599,0
2399,22,599,559,0
2442,22,559,519,0
2485,22,519,479,0
2528,22,479,439,0
2571,12,874,834,0
2614,22,439,399,0
2657,22,399,359,0
2700,22,359,319,0
2743,22,319,279,0
2786,22,279,239,0
2829,22,239,199,0
2872,22,199,159,0
2915,22,159,119,0
2958,22,119,79,0
3001,22,79,39,0
3044,22,39,0,3083
3086,21,296,256,0
3129,21,256,216,0
3172,21,216,176,0
3215,21,176,136,0
3258,21,136,96,0
3301,21,96,56,0
3344,21,56,16,0
3387,21,16,0,3403
3406,16,867,827,0
3449,16,827,787,0
3492,16,787,747,0
3535,16,747,707,0
3578,16,707,667,0
3621,16,667,627,0
3664,16,627,587,0
3707,16,587,547,0
3750,16,547,507,0
3793,16,507,467,0
3836,16,467,427,0
3879,16,427,387,0
3922,16,387,347,0
3965,16,347,307,0
4008,16,307,267,0
4051,16,267,227,0
4094,16,227,187,0
4137,16,187,147,0
4180,16,147,107,0
4223,16,107,67,0
4266,16,67,27,0
4309,16,27,0,4336
4339,10,573,533,0
4382,10,533,493,0
4425,10,493,453,0
4468,10,453,413,0
4511,10,413,373,0
4554,6,760,720,0
4597,10,373,333,0
4640,10,333,293,0
4683,10,293,253,0
4726,10,253,213,0
4769,10,213,173,0
4812,10,173,133,0
4855,10,133,93,0
4898,10,93,53,0
4941,10,53,13,0
4984,10,13,0,4997
5000,27,352,312,0
5043,27,312,272,0
5086,27,272,232,0
5129,27,232,192,0
5172,27,192,152,0
5215,27,152,112,0
5258,27,112,72,0
5301,27,72,32,0
5344,27,32,0,5376
5379,24,680,640,0
5422,24,640,600,0
5465,24,600,560,0
5508,24,560,520,0
5551,24,520,480,0
5594,24,480,440,0
5637,24,440,400,0
5680,24,400,360,0
5723,24,360,320,0
5766,24,320,280,0
5809,24,280,240,0
5852,24,240,200,0
5895,24,200,160,0
5938,24,160,120,0
5981,24,120,80,0
6024,24,80,40,0
6067,24,40,0,6107
6110,8,210,170,0
6153,8,170,130,0
6196,8,130,90,0
6239,8,90,50,0
6282,8,50,10,0
6325,8,10,0,6335
6338,23,556,516,0
6381,23,516,476,0
6424,23,476,436,0
6467,23,436,396,0
6510,23,396,356,0
6553,23,356,316,0
6596,23,316,276,0
6639,23,276,236,0
6682,23,236,196,0
6725,23,196,156,0
6768,23,156,116,0
6811,23,116,76,0
6854,23,76,36,0
6897,23,36,0,6933
6936,1,931,891,0
6979,1,891,851,0
7022,1,851,811,0
7065,1,811,771,0
7108,1,771,731,0
7151,1,731,691,0
7194,1,691,651,0
7237,1,651,611,0
7280,1,611,571,0
7323,1,571,531,0
7366,1,531,491,0
7409,1,491,451,0
7452,1,451,411,0
7495,1,411,371,0
7538,1,371,331,0
7581,1,331,291,0
7624,1,291,251,0
7667,1,251,211,0
7710,1,211,171,0
7753,1,171,131,0
7796,1,131,91,0
7839,1,91,51,0
7882,1,51,11,0
7925,1,11,0,7936
7939,12,834,794,0
7982,12,794,754,0
8025,12,754,714,0
8068,12,714,674,0
8111,12,674,634,0
8154,12,634,594,0
8197,12,594,554,0
8240,12,554,514,0
8283,12,514,474,0
8326,12,474,434,0
8369,12,434,394,0
8412,12,394,354,0
8455,12,354,314,0
8498,12,314,274,0
8541,12,274,234,0
8584,12,234,194,0
8627,12,194,154,0
8670,12,154,114,0
8713,12,114,74,0
8756,12,74,34,0
8799,12,34,0,8833
8836,9,845,805,0
8879,9,805,765,0
8922,9,765,725,0
8965,9,725,685,0
9008,9,685,645,0
9051,9,645,605,0
9094,9,605,565,0
9137,9,565,525,0
9180,9,525,485,0
9223,9,485,445,0
9266,9,445,405,0
9309,9,405,365,0
9352,9,365,325,0
9395,9,325,285,0
9438,9,285,245,0
9481,9,245,205,0
9524,9,205,165,0
9567,9,165,125,0
9610,9,125,85,0
9653,9,85,45,0
9696,9,45,5,0
9739,9,5,0,9744
9747,6,720,680,0
9790,6,680,640,0
9833,6,640,600,0
9876,6,600,560,0
9919,6,560,520,0
9962,6,520,480,0
10005,6,480,440,0
10048,6,440,400,0
10091,6,400,360,0
10134,6,360,320,0
10177,6,320,280,0
10220,6,280,240,0
10263,6,240,200,0
10306,6,200,160,0
10349,6,160,120,0
10392,6,120,80,0
10435,6,80,40,0
10478,6,40,0,10518
10521,18,30,0,10551
10554,13,382,342,0
10597,13,342,302,0
10640,13,302,262,0
10683,13,262,222,0
10726,13,222,182,0
10769,13,182,142,0
10812,13,142,102,0
10855,13,102,62,0
10898,13,62,22,0
10941,13,22,0,10963
10966,4,404,364,0
11009,4,364,324,0
11052,4,324,284,0
11095,4,284,244,0
11138,4,244,204,0
11181,4,204,164,0
11224,4,164,124,0
11267,4,124,84,0
11310,4,84,44,0
11353,4,44,4,0
11396,4,4,0,11400
11403,3,683,643,0
11446,3,643,603,0
11489,3,603,563,0
11532,3,563,523,0
11575,3,523,483,0
11618,3,483,443,0
11661,3,443,403,0
11704,3,403,363,0
11747,3,363,323,0
11790,3,323,283,0
11833,3,283,243,0
11876,3,243,203,0
11919,3,203,163,0
11962,3,163,123,0
12005,3,123,83,0
12048,3,83,43,0
12091,3,43,3,0
12134,3,3,0,12137
12140,26,754,714,0
12183,26,714,674,0
12226,26,674,634,0
12269,26,634,594,0
12312,26,594,554,0
12355,26,554,514,0
12398,26,514,474,0
12441,26,474,434,0
12484,26,434,394,0
12527,26,394,354,0
12570,26,354,314,0
12613,26,314,274,0
12656,26,274,234,0
12699,26,234,194,0
12742,26,194,154,0
12785,26,154,114,0
12828,26,114,74,0
12871,26,74,34,0
12914,26,34,0,12948
12951,14,524,484,0
12994,14,484,444,0
13037,14,444,404,0
13080,14,404,364,0
13123,14,364,324,0
13166,14,324,284,0
13209,14,284,244,0
13252,14,244,204,0
13295,14,204,164,0
13338,14,164,124,0
13381,14,124,84,0
13424,14,84,44,0
13467,14,44,4,0
13510,14,4,0,13514
13517,7,772,732,0
13560,7,732,692,0
13603,7,692,652,0
13646,7,652,612,0
13689,7,612,572,0
13732,7,572,532,0
13775,7,532,492,0
13818,7,492,452,0
13861,7,452,412,0
13904,7,412,372,0
13947,7,372,332,0
13990,7,332,292,0
14033,7,292,252,0
14076,7,252,212,0
14119,7,212,172,0
14162,7,172,132,0
14205,7,132,92,0
14248,7,92,52,0
14291,7,52,12,0
14334,7,12,0,14346
14349,5,929,889,0
14392,5,889,849,0
14435,5,849,809,0
14478,5,809,769,0
14521,5,769,729,0
14564,5,729,689,0
14607,5,689,649,0
14650,5,649,609,0
14693,5,609,569,0
14736,5,569,529,0
14779,5,529,489,0
14822,5,489,449,0
14865,5,449,409,0
14908,5,409,369,0
14951,5,369,329,0
14994,5,329,289,0
15037,5,289,249,0
15080,5,249,209,0
15123,5,209,169,0
15166,5,169,129,0
15209,5,129,89,0
15252,5,89,49,0
15295,5,49,9,0
15338,5,9,0,15347
15350,19,94,54,0
15393,19,54,14,0
15436,19,14,0,15450
15453,17,897,857,0
15496,17,857,817,0
15539,17,817,777,0
15582,17,777,737,0
15625,17,737,697,0
15668,17,697,657,0
15711,17,657,617,0
15754,17,617,577,0
15797,17,577,537,0
15840,17,537,497,0
15883,17,497,457,0
15926,17,457,417,0
15969,17,417,377,0
16012,17,377,337,0
16055,17,337,297,0
16098,17,297,257,0
16141,17,257,217,0
16184,17,217,177,0
16227,17,177,137,0
16270,17,137,97,0
16313,17,97,57,0
16356,17,57,17,0
16399,17,17,0,16416
TURNAROUND, AVG 
218104,8077.93
