CPUTIME,PID,STARTBURST,ENDBURST,COMPLETED
0,1,931,891,0
43,2,991,951,0
86,3,683,643,0
129,4,404,364,0
172,5,929,889,0
215,6,760,720,0
258,7,772,732,0
301,8,210,170,0
344,9,845,805,0
387,10,573,533,0
430,11,225,185,0
473,12,874,834,0
516,13,382,342,0
559,14,524,484,0
602,15,198,158,0
645,16,867,827,0
688,17,897,857,0
731,18,30,0,761
764,19,94,54,0
807,20,423,383,0
850,21,336,296,0
893,22,799,759,0
936,23,596,556,0
979,24,680,640,0
1022,25,71,31,0
1065,26,754,714,0
1108,27,392,352,0
1151,1,891,851,0
1194,2,951,911,0
1237,3,643,603,0
1280,4,364,324,0
1323,5,889,849,0
1366,6,720,680,0
1409,7,732,692,0
1452,8,170,130,0
1495,9,805,765,0
1538,10,533,493,0
1581,11,185,145,0
1624,12,834,794,0
1667,13,342,302,0
1710,14,484,444,0
1753,15,158,118,0
1796,16,827,787,0
1839,17,857,817,0
1882,19,54,14,0
1925,20,383,343,0
1968,21,296,256,0
2011,22,759,719,0
2054,23,556,516,0
2097,24,640,600,0
2140,25,31,0,2171
2174,26,714,674,0
2217,27,352,312,0
2260,1,851,811,0
2303,2,911,871,0
2346,3,603,563,0
2389,4,324,284,0
2432,5,849,809,0
2475,6,680,640,0
2518,7,692,652,0
2561,8,130,90,0
2604,9,765,725,0
2647,10,493,453,0
2690,11,145,105,0
2733,12,794,754,0
2776,13,302,262,0
2819,14,444,404,0
2862,15,118,78,0
2905,16,787,747,0
2948,17,817,777,0
2991,19,14,0,3005
3008,20,343,303,0
3051,21,256,216,0
3094,23,516,476,0
3137,24,600,560,0
3180,25,0,0,3180
3183,27,312,272,0
3226,1,811,771,0
3269,2,871,831,0
3312,3,563,523,0
3355,5,809,769,0
3398,6,640,600,0
3441,7,652,612,0
3484,8,90,50,0
3527,9,725,685,0
3570,10,453,413,0
3613,11,105,65,0
3656,12,754,714,0
3699,13,262,222,0
3742,14,404,364,0
3785,15,78,38,0
3828,16,747,707,0
3871,17,777,737,0
3914,19,0,0,3914
3917,20,303,263,0
3960,21,216,176,0
4003,23,476,436,0
4046,24,560,520,0
4089,25,0,0,4089
4092,27,272,232,0
4135,1,771,731,0
4178,3,523,483,0
4221,5,769,729,0
4264,6,600,560,0
4307,7,612,572,0
4350,8,50,10,0
4393,9,685,645,0
4436,10,413,373,0
4479,11,65,25,0
4522,12,714,674,0
4565,14,364,324,0
4608,15,38,0,4646
4649,16,707,667,0
4692,17,737,697,0
4735,19,0,0,4735
4738,20,263,223,0
4781,21,176,136,0
4824,23,436,396,0
4867,24,520,480,0
4910,25,0,0,4910
4913,27,232,192,0
4956,1,731,691,0
4999,3,483,443,0
5042,5,729,689,0
5085,6,560,520,0
5128,7,572,532,0
5171,10,373,333,0
5214,11,25,0,5239
5242,12,674,634,0
5285,14,324,284,0
5328,15,0,0,5328
5331,16,667,627,0
5374,17,697,657,0
5417,21,136,96,0
5460,23,396,356,0
5503,24,480,440,0
5546,25,0,0,5546
5549,27,192,152,0
5592,1,691,651,0
5635,5,689,649,0
5678,6,520,480,0
5721,7,532,492,0
5764,10,333,293,0
5807,11,0,0,5807
5810,12,634,594,0
5853,14,284,244,0
5896,17,657,617,0
5939,21,96,56,0
5982,23,356,316,0
6025,24,440,400,0
6068,25,0,0,6068
6071,27,152,112,0
6114,1,651,611,0
6157,5,649,609,0
6200,6,480,440,0
6243,7,492,452,0
6286,10,293,253,0
6329,11,0,0,6329
6332,12,594,554,0
6375,14,244,204,0
6418,17,617,577,0
6461,21,56,16,0
6504,24,400,360,0
6547,25,0,0,6547
6550,27,112,72,0
6593,1,611,571,0
6636,6,440,400,0
6679,7,452,412,0
6722,10,253,213,0
6765,11,0,0,6765
6768,12,554,514,0
6811,14,204,164,0
6854,21,16,0,6870
6873,24,360,320,0
6916,25,0,0,6916
6919,27,72,32,0
6962,1,571,531,0
7005,6,400,360,0
7048,10,213,173,0
7091,14,164,124,0
7134,21,0,0,7134
7137,24,320,280,0
7180,25,0,0,7180
7183,27,32,0,7215
7218,10,173,133,0
7261,24,280,240,0
7304,25,0,0,7304
7307,27,0,0,7307
7310,10,133,93,0
7353,24,240,200,0
7396,27,0,0,7396
7399,10,93,53,0
7442,24,200,160,0
7485,27,0,0,7485
7488,10,53,13,0
7531,24,160,120,0
7574,27,0,0,7574
TURNAROUND, AVG 
151421,5608.19
