CPUTIME,PID,STARTBURST,ENDBURST,COMPLETED
0,1,931,911,0
23,2,991,971,0
46,3,683,663,0
69,4,404,384,0
92,5,929,909,0
115,6,760,740,0
138,7,772,752,0
161,8,210,190,0
184,9,845,825,0
207,10,573,553,0
230,11,225,205,0
253,12,874,854,0
276,13,382,362,0
299,14,524,504,0
322,15,198,178,0
345,16,867,847,0
368,17,897,877,0
391,18,30,10,0
414,19,94,74,0
437,20,423,403,0
460,21,336,316,0
483,22,799,779,0
506,23,596,576,0
529,24,680,660,0
552,25,71,51,0
575,26,754,734,0
598,27,392,372,0
621,1,911,891,0
644,2,971,951,0
667,3,663,643,0
690,4,384,364,0
713,5,909,889,0
736,6,740,720,0
759,7,752,732,0
782,8,190,170,0
805,9,825,805,0
828,10,553,533,0
851,11,205,185,0
874,12,854,834,0
897,13,362,342,0
920,14,504,484,0
943,15,178,158,0
966,16,847,827,0
989,17,877,857,0
1012,18,10,0,1022
1025,19,74,54,0
1048,20,403,383,0
1071,21,316,296,0
1094,22,779,759,0
1117,23,576,556,0
1140,24,660,640,0
1163,25,51,31,0
1186,26,734,714,0
1209,27,372,352,0
1232,1,891,871,0
1255,2,951,931,0
1278,3,643,623,0
1301,4,364,344,0
1324,5,889,869,0
1347,6,720,700,0
1370,7,732,712,0
1393,8,170,150,0
1416,9,805,785,0
1439,10,533,513,0
1462,11,185,165,0
1485,12,834,814,0
1508,13,342,322,0
1531,14,484,464,0
1554,15,158,138,0
1577,16,827,807,0
1600,17,857,837,0
1623,19,54,34,0
1646,20,383,363,0
1669,21,296,276,0
1692,22,759,739,0
1715,23,556,536,0
1738,24,640,620,0
1761,25,31,11,0
1784,26,714,694,0
1807,27,352,332,0
1830,1,871,851,0
1853,2,931,911,0
1876,3,623,603,0
1899,4,344,324,0
1922,5,869,849,0
1945,6,700,680,0
1968,7,712,692,0
1991,8,150,130,0
2014,9,785,765,0
2037,10,513,493,0
2060,11,165,145,0
2083,12,814,794,0
2106,13,322,302,0
2129,14,464,444,0
2152,15,138,118,0
2175,16,807,787,0
2198,17,837,817,0
2221,19,34,14,0
2244,20,363,343,0
2267,21,276,256,0
2290,22,739,719,0
2313,23,536,516,0
2336,24,620,600,0
2359,25,11,0,2370
2373,26,694,674,0
2396,1,851,831,0
2419,2,911,891,0
2442,3,603,583,0
2465,4,324,304,0
2488,5,849,829,0
2511,6,680,660,0
2534,7,692,672,0
2557,8,130,110,0
2580,9,765,745,0
2603,10,493,473,0
2626,11,145,125,0
2649,12,794,774,0
2672,13,302,282,0
2695,14,444,424,0
2718,15,118,98,0
2741,16,787,767,0
2764,17,817,797,0
2787,19,14,0,2801
2804,20,343,323,0
2827,21,256,236,0
2850,22,719,699,0
2873,23,516,496,0
2896,25,0,0,2896
2899,26,674,654,0
2922,1,831,811,0
2945,2,891,871,0
2968,3,583,563,0
2991,4,304,284,0
3014,5,829,809,0
3037,6,660,640,0
3060,7,672,652,0
3083,9,745,725,0
3106,10,473,453,0
3129,11,125,105,0
3152,12,774,754,0
3175,13,282,262,0
3198,14,424,404,0
3221,15,98,78,0
3244,16,767,747,0
3267,17,797,777,0
3290,19,0,0,3290
3293,20,323,303,0
3316,21,236,216,0
3339,22,699,679,0
3362,23,496,476,0
3385,25,0,0,3385
3388,26,654,634,0
3411,1,811,791,0
3434,2,871,851,0
3457,3,563,543,0
3480,4,284,264,0
3503,5,809,789,0
3526,6,640,620,0
3549,7,652,632,0
3572,10,453,433,0
3595,11,105,85,0
3618,12,754,734,0
3641,13,262,242,0
3664,14,404,384,0
3687,15,78,58,0
3710,16,747,727,0
3733,17,777,757,0
3756,19,0,0,3756
3759,20,303,283,0
3782,21,216,196,0
3805,23,476,456,0
3828,25,0,0,3828
3831,1,791,771,0
3854,2,851,831,0
3877,3,543,523,0
3900,4,264,244,0
3923,5,789,769,0
3946,6,620,600,0
3969,7,632,612,0
3992,10,433,413,0
4015,11,85,65,0
4038,12,734,714,0
4061,13,242,222,0
4084,15,58,38,0
4107,16,727,707,0
4130,17,757,737,0
4153,19,0,0,4153
4156,20,283,263,0
4179,21,196,176,0
4202,23,456,436,0
4225,25,0,0,4225
4228,1,771,751,0
4251,2,831,811,0
4274,3,523,503,0
4297,4,244,224,0
4320,5,769,749,0
4343,6,600,580,0
4366,7,612,592,0
4389,10,413,393,0
4412,11,65,45,0
4435,12,714,694,0
4458,15,38,18,0
4481,16,707,687,0
4504,17,737,717,0
4527,19,0,0,4527
4530,21,176,156,0
4553,23,436,416,0
4576,25,0,0,4576
4579,3,503,483,0
4602,4,224,204,0
4625,5,749,729,0
4648,6,580,560,0
4671,7,592,572,0
4694,10,393,373,0
4717,11,45,25,0
4740,12,694,674,0
4763,15,18,0,4781
4784,16,687,667,0
4807,17,717,697,0
4830,19,0,0,4830
4833,21,156,136,0
4856,25,0,0,4856
4859,3,483,463,0
4882,4,204,184,0
4905,5,729,709,0
4928,6,560,540,0
4951,10,373,353,0
4974,11,25,5,0
4997,12,674,654,0
5020,16,667,647,0
5043,17,697,677,0
5066,19,0,0,5066
5069,21,136,116,0
5092,4,184,164,0
5115,5,709,689,0
5138,6,540,520,0
5161,10,353,333,0
5184,11,5,0,5189
5192,12,654,634,0
5215,16,647,627,0
5238,17,677,657,0
5261,19,0,0,5261
5264,21,116,96,0
5287,4,164,144,0
5310,5,689,669,0
5333,6,520,500,0
5356,10,333,313,0
5379,12,634,614,0
5402,16,627,607,0
5425,17,657,637,0
5448,19,0,0,5448
5451,21,96,76,0
5474,4,144,124,0
5497,5,669,649,0
5520,6,500,480,0
5543,10,313,293,0
5566,12,614,594,0
5589,16,607,587,0
5612,19,0,0,5612
5615,21,76,56,0
5638,4,124,104,0
5661,5,649,629,0
5684,6,480,460,0
5707,10,293,273,0
5730,12,594,574,0
5753,16,587,567,0
5776,19,0,0,5776
5779,21,56,36,0
5802,4,104,84,0
5825,5,629,609,0
5848,6,460,440,0
5871,10,273,253,0
5894,12,574,554,0
5917,16,567,547,0
5940,19,0,0,5940
5943,5,609,589,0
5966,6,440,420,0
5989,10,253,233,0
6012,16,547,527,0
6035,19,0,0,6035
6038,5,589,569,0
6061,6,420,400,0
6084,10,233,213,0
6107,19,0,0,6107
6110,5,569,549,0
6133,6,400,380,0
6156,19,0,0,6156
6159,5,549,529,0
6182,6,380,360,0
